cardcode;calldate;Result;ShortComment;LongComment;Found;Interest
A.06377;5/9/2019;Ενημέρωση;;ΨΩΝΙΖΕΙ ΑΠΟ ΝΟΥΣΗ ΒΑΣ. ΘΕΛΕΙ ΚΑΤΑΛΟΓΟ ΠΡΟΙΟΝΤΩΝ ΚΑΙ ΤΗΛ ΕΝΗΜΕΡΩΣΗ ,;1;0
A.04797;5/9/2019;Ενημέρωση;Επανάκληση;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ,,,,,,,,,,;1;0
A.06566;5/9/2019;Ενημέρωση;Επανάκληση;ΘΑ ΚΑΛΕΣΕΙ Ο ΙΔΙΟΣ ΟΤΑΝ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ 2105621903;1;-1
A.04013;5/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΘΑ ΠΑΡΕΙ ΤΗΛ ΑΝ ΧΡΕΙΣΤΕΙ ΚΑΤΙ ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ....;1;-1
A.03570;6/9/2019;Αρνητική Τοποθέτηση;Ανταγωνισμός;ΣΥΝΕΡΓΑΖΟΤΑΝ ΠΑΛΙΑ ΜΑΖΙ ΜΑΣ ΨΩΝΙΖΕΙ ΜΟΝΟ ΑΠΟ ΑΝΤΑΓΩΝΙΣΤΗ,ΠΡΟΣ ΤΟ ΠΑΡΟΝ ΔΕΝ ΘΕΛΕΙ  ΣΥΝΕΡΓΑΣΙΑ.;1;-1
A.01925;6/9/2019;Ενημέρωση;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ  ΤΗΛ ΣΤΟΙΧΕΙΑ,;0;
A.04017;6/9/2019;Ενημέρωση;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛΕΦΩΝΙΚΑ ΣΤΟΙΧΕΙΑ.;0;
A.01864;6/9/2019;Ενημέρωση;Κατάλογος προϊόντων;ΧΟΝΔΡΙΚΗ ΠΩΛΗΣΗ ΠΑΓΩΤΩΜΗΧΑΝΩΝ,;1;1
A.04034;6/9/2019;Ενημέρωση;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΣΤΟΙΧΕΙΑ ΛΑΘΟΣ ΤΗΛ.;0;
A.04037;6/9/2019;Ενημέρωση;Επανάκληση;ΤΗΛ.ΑΡΓΟΤΕΡΑ (Κα Χαρούλα υπευθυνη);0;
A.04021;6/9/2019;Αρνητική Τοποθέτηση;Ανταγωνισμός;δεν ψωνιζει προοιντα απο την εταιρεια  εχει σταματησει και παιρνει μονο απο ανταγωνιστες.(ΜΠΕΞΗΣ);1;-1
A.00928;6/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΛΕΙΠΕΙ ΣΧΕΔΟΝ ΠΑΝΤΑ  Ο ΥΠΕΥΘΥΝΟΣ ΚΑΙ ΕΝΗΜΕΡΩΝΕΤΑΙ ΑΠΟ ΤΟΝ ΓΙΑΝΝΑΚΟ.;0;
A.00901;6/9/2019;Ενημέρωση;Άλλο;ΛΑΘΟΣ ΤΗΛ,ΣΤΟΙΧΕΙΑ.;0;
A.03934;6/9/2019;Ενημέρωση;;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΠΑΡΑΓΓΕΛΙΑ ΟΤΑΝ ΧΡΕΙΑΣΤΕΙ.;1;-1
A.00851;6/9/2019;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ Ο ΙΔΙΟΣ ΟΤΑΝ ΧΡΕΑΣΤΕΙ  ΕΙΝΑΙ ΕΝΗΜΕΡΩΜΕΝΟΣ ΓΙΑ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ.;1;-1
A.00855;9/9/2019;Τοποθετηση;;Ο ΠΕΛΑΤΗΣ ΕΝΗΜΕΡΩΘΗΚΕ ΓΙΑ ΝΕΑ ΠΡΟΙΟΝΤΑ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ ΓΙΑ ΠΡΩΤΗ ΦΟΡΑ ΜΙΑ mINUTA ΚΑΙ ΖΗΤΗΣΕ ΔΕΙΓΜΑ ΚΑΙ mATCHA TEA ;1;1
A.00855;9/9/2019;Παραγγελία;Επανάκληση;ΠΑΡΑΓΓΕΛΙΑ ΜΙΑ mINUTA;1;1
A.00855;9/9/2019;Παραγγελία Δείγματος;;ΖΗΤΗΣΕ ΔΕΙΓΜΑ MATCHA TEA;1;0
A.04623;9/9/2019;Αλλο;Λαθασμένα στοιχεία επικοινωνίας;αργοτερα;0;
A.04734;9/9/2019;Ενημέρωση;;παιρνει συγκεκριμενα προιοντα και αν χρειαστει κατι θα μας ενημερωσει,;1;-1
A.06628;12/9/2019;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ,;1;-1
A.04734;12/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΠΑΙΡΝΕΙ ΣΥΓΚΕΚΡΙΜΕΝΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΔΙΝΕΙ ΠΑΡΑΓΓΕΛΙΑ ΟΤΑΝ ΧΡΕΙΑΖΕΤΑΙ,;1;-1
A.03596;12/9/2019;Παραγγελία Δείγματος;Αντιπρόσωπος μόνο;ΓΝΩΡΙΖΕΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ ΚΑΙ ΨΩΝΙΖΕΙ ΑΠΟ ΒΑΛΑΡΗ ΘΑ ΗΘΕΛΕ ΝΑ ΔΕΙ ΤΟ TWIN CHOCO ΚΑΙ ΑΡΓΟΤΕΡΑ ΘΑ ΠΑΡΕΙ Κ ΑΛΛΑ ΠΡΟΙΟΝΤΑ  ΜΑΣ ΕΙΧΕ ΕΠΙΣΚΕΦΘΕΙ ΚΑΙ ΣΤΗΝ ARTOZA.;1;0
A.03911;12/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ ΣΤΟΝ ΚΕΙΜΠΙΝΟ.;1;0
A.03912;12/9/2019;Ενημέρωση;Επανάκληση;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ ΣΤΗΝ ΕΤΑΙΡΕΙΑ;1;0
A.01050;12/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΕΝΗΜΕΡΩΝΕΤΑΙ ΑΠ ΤΟΝ ΕΜΠΟΡΟ ;1;0
A.03920;12/9/2019;Αλλο;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ.;0;
A.03711;12/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΕΝΗΜΕΡΩΩΝΕΤΑΙ ΑΠΟ ΤΟΝ ΚΕΙΜΠΙΝΟ ΚΑΙ ΔΕΝ ΧΡΕΙΑΖΕΤΑΙ ΤΩΡΑ ΚΑΤΙ;1;-1
A.05379;12/9/2019;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΤΑΙ ΠΡΟΣ ΤΟ ΠΑΡΩΝ ΓΙΑ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ,;1;-1
A.03702;12/9/2019;Αλλο;;ΔΕΝ ΕΧΕΙ ΤΗΛ.;0;
A.03731;12/9/2019;Αλλο;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ.;0;
A.03710;12/9/2019;Αλλο;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ.;0;
A.05344;13/9/2019;Ενημέρωση;Κατάλογος προϊόντων;ΕΙΝΑΙ ΕΡΓΑΣΤΗΡΙΟ ΣΦΟΛΙΑΤΑΣ  ΓΙΑ ΤΗΝ ΩΡΑ ΘΕΛΕΙ ΜΟΝΟ ΚΑΤΑΛΟΓΟ ΜΕ ΤΑ ΠΡΟΙΟΝΤΑ,;1;0
A.06283;13/9/2019;Αλλο;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ.;0;
A.06184;13/9/2019;Ενημέρωση;Άλλο;ΑΓΟΡΑΖΕΙ ΜΟΝΟ ΚΑΤΕΨΥΓΜΕΝΑ, ΕΙΝΑΙ ΑΝΑΨΥΚΤΗΡΙΟ;1;-1
A.05660;13/9/2019;Ενημέρωση;Κατάλογος προϊόντων;ΔΟΥΛΕΥΕΙ ΠΙΟ ΠΟΛΥ ΜΕ ΕΤΟΙΜΑ ΠΡΟΙΝΤΑ ΚΑΙ ΒΑΣΕΙΣ ΤΑΡΤΑΣ ΘΕΛΕΙ ΚΑΤΑΛΟΓΟ ΠΡΟΙΟΝΤΩΝ ΝΑ ΕΝΗΜΕΡΩΘΕΙ,;1;0
A.02222;13/9/2019;Ενημέρωση;Άλλο;ΕΧΕΙ ΑΛΛΑΞΕΙ ΕΠΩΝΥΜΙΑ (ΣΤΑΜΑΤΙΟΥ ΘΕΟΔΩΡΟΣ);0;
A.05488;13/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΕΝΗΜΕΡΩΝΕΤΑΙ ΚΑΙ ΑΠΟ ΤΟΝ ΑΝΤΩΝΙΟΥ ΚΑΙ ΟΤΑΝ ΧΡΕΡΙΑΣΤΕΙ ΘΑ ΜΑΣ ΚΑΛΕΣΕΙ Ο ΔΙΟΣ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ,.;1;-1
A.02224;13/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΑΝ ΧΡΕΙΑΣΤΕΙ ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΠΑΡΑΓΓΕΛΙΑ ;1;-1
A.02161;13/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΨΩΝΙΖΕΙ ΑΠΟ ΑΝΤΩΝΙΟΥ ΚΑΙ ΕΝΗΜΕΩΝΕΤΑΙ ΑΠΟ ΕΚΕΙΝΟΝ,;1;0
A.06374;13/9/2019;Ενημέρωση;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ;0;
A.02126;17/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΠΑΙΡΝΕΙ ΜΟΝΟ TSOUREKI ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ ΚΑΙ ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΟΤΑΝ ΧΡΕΙΑΣΤΕΙ,;1;-1
A.02536;17/9/2019;Αλλο;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ ΣΤΟΙΧΕΙΑ,;0;
A.04600;17/9/2019;Αρνητική Τοποθέτηση;Άλλο;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΑΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ,;1;-1
A.06763;17/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ ΣΤΗΝ ΕΤΑΙΡΕΙΑ. ΓΝΩΡΙΣΕΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ ΚΑΙ ΕΝΗΜΕΡΩΝΕΤΑΙ ΚΑΙ ΑΠ ΤΟ SITE,;1;0
A.06501;17/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΠΑΡΑΓΓΕΛΙΑ ΟΤΑΝ ΧΡΕΙΑΣΤΕΙ, ΕΙΝΑΙ ΤΑΒΕΡΝΑ;1;-1
A.02210;17/9/2019;Ενημέρωση;Επανάκληση;ΘΑ ΔΩΣΕΙ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ ΠΑΡΑΓΓΕΛΙΑ.;1;0
A.03101;17/9/2019;Ενημέρωση;Επανάκληση;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΠΑΡΑΓΓΕΛΙΑ ,  ΘΕΛΕΙ ΝΑ ΤΟΝ ΕΝΗΜΕΡΩΝΟΥΜΕ ΚΑΘΕ 15 ΗΜΕΡΕΣ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ.;1;0
A.05777;17/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΓΝΩΡΙΖΕΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ ΑΛΛΑ ΠΡΟΣ ΤΟ ΠΑΡΩΝ ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΚΑΤΙ,;1;-1
