cardcode;calldate;Result;ShortComment;LongComment;Found;Interest
A.00568;13/3/2020;Ενημέρωση;;;1;-1
A.00588;13/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.00901;13/3/2020;Ενημέρωση;;;1;-1
A.00855;16/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.03596;16/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΑΡΓΟΤΕΡΑ ΑΝ ΧΡΕΙΑΣΤΕΙ;1;-1
A.03911;16/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.03912;16/3/2020;Ενημέρωση;;ΤΗΛ ΑΥΡΙΟ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ ;1;0
A.06763;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ,;1;0
A.02210;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.03101;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.05777;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ,;1;0
A.06570;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01251;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.01255;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ,;1;0
A.05747;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ,;1;0
A.06361;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.03841;16/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.05444;16/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.02149;18/3/2020;Τοποθετηση;Κατάλογος προϊόντων;οκ εδωσε παραγγελλια ενα ZeeMωτο,;1;1
A.04465;20/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΤΑΙ,;1;-1
A.04841;20/3/2020;Ενημέρωση;;EINAI ΚΛΕΙΣΤΑ ΔΕΝ ΠΑΙΡΝΟΥΝ ΠΑΡΑΓΓΕΛΙΕΣ ΤΩΡΑ;1;-1
A.01773;20/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.01691;20/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ;1;-1
A.05688;20/3/2020;Ενημέρωση;;Θ ΑΔΩΣΟΥΝ ΠΑΡΑΓΓΕΛΙΑ ΟΤΑΝ ΑΝΟΙΞΟΥΝ;1;-1
A.04459;20/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΟΝΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.05235;20/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01988;20/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ,;1;0
A.01926;20/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.04023;20/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΟΥΝ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ';1;0
A.00802;20/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΘΑ ΔΩΣΕΙ ΑΡΓΟΤΕΡΑ;1;-1
A.01580;20/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΟΙΔΙΟΣ ΟΤΑΝ ΧΡΕΑΣΤΕΙ,;1;-1
A.06937;20/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01564;20/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01576;20/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01576;20/3/2020;Ενημέρωση;;ΠΑΡΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.07081;20/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΕΡΕΤΑΙ;1;-1
A.01696;20/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01770;20/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.01625;20/3/2020;Ενημέρωση;;ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ ΣΤΟΝ ΠΩΛΗΤΗ;1;1
A.01745;20/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01653;20/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΟΜΑΔΑ;1;0
A.03992;20/3/2020;Ενημέρωση;;ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ ΣΤΟΝ ΕΜΠΟΡΟ;1;1
A.00360;23/3/2020;Παραγγελία;;οκ εδωσε παραγγελια;1;1
A.00468;23/3/2020;Παραγγελία;;οκ παραγγελια;1;1
A.03803;23/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.00586;23/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΕΤΕΡΑ;1;0
A.03395;23/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ.;1;-1
A.05483;23/3/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.01212;23/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΟΥΝ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.03939;23/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.00558;23/3/2020;Ενημέρωση;;θα δωσουν παραγγελια αργοτερα;1;0
A.00566;23/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΟΥΝ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.06367;23/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.00616;23/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΑΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ ;1;-1
A.06518;23/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.01193;23/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;-1
A.03397;23/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.00656;23/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01149;24/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.05666;24/3/2020;Ενημέρωση;;ΔΕΝ ΧΡΕΙΑΖΟΝΤΑΙ ΚΑΤΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.06570;24/3/2020;Παραγγελία;;ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.03997;24/3/2020;Ενημέρωση;Αντιπρόσωπος μόνο;δεν ενδιαφερεται για παραγγελια  εδωσε στον εμπορο .;1;1
A.01761;24/3/2020;Ενημέρωση;;;1;-1
A.03971;24/3/2020;Ενημέρωση;;θα δωσει στον πωλητη αργοτερα,....;1;0
A.06639;24/3/2020;Ενημέρωση;;θα δωσουν την αλλη εβομαδαα;1;0
A.04698;24/3/2020;Ενημέρωση;;εδωσε παραγγελια στον εμπορο;1;1
A.04100;24/3/2020;Ενημέρωση;;δεν ενδιαφερεται;1;-1
A.04737;24/3/2020;Ενημέρωση;;δεν χρειαζονται κατι προς το παρον,;1;-1
A.01658;24/3/2020;Ενημέρωση;;θα δωσει στον πωλτητη αν χρειστει.;1;-1
A.00087;24/3/2020;Ενημέρωση;;δεν ενδιαφερεται,;1;-1
A.04809;24/3/2020;Ενημέρωση;;δεν ενδιαφερονται για παραγγελια.;1;-1
A.06977;24/3/2020;Ενημέρωση;;δεν ενδιαφερεται για παραγγελια;1;-1
A.06446;24/3/2020;Ενημέρωση;;θα δωσουν παραγγελια την αλλη εβδομαδα;1;0
A.03979;24/3/2020;Ενημέρωση;;δενε δνιαφερεται για παραγγελια;1;-1
A.04807;24/3/2020;Ενημέρωση;;θα δωσει την αλλη εβομαδα παραγγελια;1;0
A.03390;24/3/2020;Ενημέρωση;;δεν ενδιαφερεται για παραγγελια;1;-1
A.05661;24/3/2020;Ενημέρωση;;εχει δωσει στον πωλητη;1;1
A.04797;24/3/2020;Ενημέρωση;;θα δωσει παραγγελια την αλλη εβδομαδα;1;0
A.03101;26/3/2020;Παραγγελία;;ok παραγγελια 1 mamas λευκο;1;1
A.00586;26/3/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.04720;26/3/2020;Ενημέρωση;;δενε διαφερεται;1;-1
A.04081;26/3/2020;Παραγγελία;;οκ εδωσε παραγγελια 3 και 1 ts oriental;1;1
A.01489;26/3/2020;Ενημέρωση;;δεν ενδιαφερεται ;1;-1
A.04085;26/3/2020;Ενημέρωση;;παραγγελια αργοτερα  (σχεδον κλειστα);1;0
A.00600;26/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΣΤΟΝ ΕΜΠΟΡΟ ΑΝ ΧΡΕΙΑΣΤΕΙ,;1;-1
A.04064;26/3/2020;Ενημέρωση;;θα δωσει αργοτερα παραγγελια;1;0
A.05413;26/3/2020;Ενημέρωση;;θα δωσει παραγγελια την αλλη εβδομαδα;1;0
A.00560;26/3/2020;Ενημέρωση;;θα δωσει παραγγελια αργοτερα;1;0
A.03953;26/3/2020;Ενημέρωση;;θα δωσει αργοτερα αν χρεισετει στον εμπορο;1;-1
A.03963;26/3/2020;Ενημέρωση;;παραγγελια την αλλη εβδομαδα;1;0
A.03754;26/3/2020;Ενημέρωση;;εδωσαν παραγγελια στον πωλητη;1;1
A.03768;26/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.06882;26/3/2020;Ενημέρωση;;ΑΝ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ ΘΑ ΕΠΙΚΟΙΝΩΝΗΣΕΙ ΕΚΕΙΝΟΣ ΜΑΖΙ ΜΑΣ;1;-1
A.00602;26/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΟΥΝ ΟΙ ΙΔΙΟΙ ΤΗΝΑΛΛΗ ΕΒΔΟΜΑΣ;1;0
A.00412;26/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΟΥΝ ΟΙ ΙΔΙΟΙ ΑΝ ΧΡΕΙΑΣΤΟΥΝ ΚΑΤΙ;1;-1
A.03861;27/3/2020;Ενημέρωση;;;1;-1
A.00089;27/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01747;27/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΧΕΙ ΚΑΘΟΛΟΥ ΔΟΥΛΕΙΑ \ ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.00802;27/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01564;27/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ(ΥΠΟΛΕΙΤΟΥΡΓΕΙ);1;-1
A.01926;27/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ,;1;0
A.01988;27/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.04023;27/3/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.01580;27/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΠΡΟΣ ΤΟ ΠΑΡΟΝ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.01696;27/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.01745;27/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.06446;27/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ ΥΠΟΛΕΙΤΟΥΡΓΕΙ.;1;-1
A.04807;27/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.04767;27/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01755;27/3/2020;Ενημέρωση;;ΔΕΝΕ ΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ  ΥΠΟΛΕΙΤΟΥΡΓΕΙ,;1;-1
A.04575;27/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ;1;-1
A.04941;27/3/2020;Ενημέρωση;;δεν ενδιαφερεται;1;-1
A.01640;27/3/2020;Παραγγελία;;οκ εδωσε παραγγελια;1;1
A.03808;27/3/2020;Ενημέρωση;;παραγγελια την αλλη εβδομαδα;1;0
A.06279;27/3/2020;Ενημέρωση;;παραγγελιατην αλλη εβδομαδα;1;0
A.00773;30/3/2020;Παραγγελία;;οκ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ,;1;1
A.05691;30/3/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.04143;30/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.00690;30/3/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ ΣΤΟΝ ΠΩΛΗΤΗ;1;0
A.00688;30/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΤΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.00683;30/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.06233;30/3/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ.;1;0
A.00532;30/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ.;1;-1
A.01956;31/3/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ.;1;-1
A.06789;31/3/2020;Επίσκεψη;;ΔΕΝ ΕΧΕΙ ΚΑΘΟΛΟΥ ΔΟΥΛΕΙΑ ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.06116;31/3/2020;Ενημέρωση;;ΔΕΝΕ ΔΝΙΑΦΕΡΡΕΤΑΙ;1;-1
A.01251;1/4/2020;Ενημέρωση;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.01976;1/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.03841;1/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ.;1;-1
A.00468;1/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.03001;1/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01408;1/4/2020;Παραγγελία;;ΟΚΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.01447;1/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01213;2/4/2020;Παραγγελία;;οκ παραγγελια ;1;1
A.04023;3/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.00802;3/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01564;3/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.01576;3/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.00756;3/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛ΄ΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01696;3/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.01770;3/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01745;3/4/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.01653;3/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01610;3/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.01688;3/4/2020;Ενημέρωση;Αντιπρόσωπος μόνο;ΕΧΕΟ ΔΩΣΕΙ ΣΤΟ ΕΜΠΟΡΟ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.03979;3/4/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.03980;3/4/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΑΡΓΟΤΕΡΑ ΠΑΡΑΓΓΕΛΙΑ;1;0
A.05038;3/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.04203;3/4/2020;Ενημέρωση;Αντιπρόσωπος μόνο;ΘΑ ΔΩΣΕΙ ΣΤΟΝ ΕΜΠΟΡΟ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.04042;6/4/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.00456;6/4/2020;Παραγγελία;;οκ εδωσε παραγγελια;1;1
A.00586;6/4/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.00468;9/4/2020;Παραγγελία;;ok εδωσε παραγγελια;1;1
A.00855;10/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.01950;10/4/2020;Παραγγελία;;OK ΠΑΡΑΓΓΕΛΙΑ;1;1
A.05727;10/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.01447;10/4/2020;Παραγγελία;;;1;1
A.07264;10/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.07264;10/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.06542;10/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.04081;10/4/2020;Παραγγελία;;;1;1
A.00584;10/4/2020;Παραγγελία;;;1;1
A.00441;10/4/2020;Παραγγελία;;;1;1
A.04023;10/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.04465;10/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01653;10/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.06446;10/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΜΕΤΑ ΤΟ ΠΑΣΧΑ;1;0
A.03912;10/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΜΕΤΑ ΤΟ ΠΑΣΧΑ;1;0
A.04143;10/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.03101;10/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.00568;10/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.00562;10/4/2020;Ενημέρωση;;ΔΕΝΕ ΔΝΙΑΦΕΡΕΤΑΙ;1;-1
A.01212;10/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.06320;10/4/2020;Ενημέρωση;;ΔΕΝΕ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01905;21/4/2020;Παραγγελία;;οκ παραγγελια;1;1
A.02184;22/4/2020;Παραγγελία;;;1;1
A.03934;22/4/2020;Παραγγελία;;οκ παραγγελια ,;1;1
A.03019;22/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.04705;22/4/2020;Ενημέρωση;;θα δωσει παραγγελία την αλλη εβδομάδα;1;0
A.04776;22/4/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.03001;22/4/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΑΔΑ;1;0
A.00441;23/4/2020;Παραγγελία;;οκ εδωσε παραγγελια;1;1
A.01690;23/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.00558;23/4/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.06316;23/4/2020;Παραγγελία;;OK ΠΑΡΑΓΓΕΛΙΑ ;1;1
A.07308;24/4/2020;Παραγγελία;;Οκ παραγγελια;1;1
A.05661;24/4/2020;Παραγγελία;;οκ παραγγελια;1;1
A.00773;24/4/2020;Ενημέρωση;;παραγγελια αργοτερα;1;0
A.00586;11/5/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ ;1;1
A.00468;11/5/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ ;1;1
A.01799;11/5/2020;Παραγγελία;;ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ ΣΤΟΝ ΠΩΛΗΤΗ;1;1
A.03616;11/5/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΑΝ ΧΡΕΙΑΣΤΕΙ ΠΑΡΑΓΓΕΛΙΑ;1;-1
A.01976;11/5/2020;Παραγγελία;;ΟΚ ΕΔΩΣΕ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.05769;14/5/2020;Ενημέρωση;;θα δωσει παραγγελια την αλλη εβδομαδα;1;0
A.01911;14/5/2020;Ενημέρωση;;θα δωσει παραγελια στον εμπορο;1;0
A.01917;14/5/2020;Ενημέρωση;;δν ενδιαφερεται;1;-1
A.04261;14/5/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;0
A.06638;14/5/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;1;0
A.00075;14/5/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΣΤΟΝΝ ΕΜΠΟΡΟ;1;0
A.00947;14/5/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙαφερεται;1;-1
A.03814;14/5/2020;Ενημέρωση;;θα δωσει παραγγελια στον ΚΩΤΣΗ,;1;0
A.01166;14/5/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;1;-1
A.01447;19/5/2020;Παραγγελία;;οκ παραγγελια;1;1
A.01797;20/5/2020;Παραγγελία;;οκ εδωσε παραγγελια;1;1
A.00773;21/5/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;1
A.01166;26/5/2020;Ενημέρωση;Αντιπρόσωπος μόνο;δεν ενδιαφερεται;1;-1
A.01971;26/5/2020;Ενημέρωση;Ανταγωνισμός;;1;-1
A.03621;26/5/2020;Ενημέρωση;Αντιπρόσωπος μόνο;;1;-1
